Far field
"Theta"[deg]	"Phi = 0 deg [dBi]"	"Phi = 40 deg [dBi]"	"Phi = 90 deg [dBi]"	
0.00000000E+00	8.80555565E+00	8.80555565E+00	8.80555565E+00	
5.00000000E+00	8.63884891E+00	8.66528192E+00	8.74017322E+00	
1.00000000E+01	8.29799292E+00	8.37447806E+00	8.55308463E+00	
1.50000000E+01	7.77984724E+00	7.93696664E+00	8.24615286E+00	
2.00000000E+01	7.08023695E+00	7.35931657E+00	7.82246375E+00	
2.50000000E+01	6.19334181E+00	6.65112802E+00	7.28635118E+00	
3.00000000E+01	5.11075320E+00	5.82537161E+00	6.64343917E+00	
3.50000000E+01	3.82002330E+00	4.89873317E+00	5.90071017E+00	
4.00000000E+01	2.30240774E+00	3.89185289E+00	5.06661159E+00	
4.50000000E+01	5.29302146E-01	2.82926021E+00	4.15121614E+00	
5.00000000E+01	-1.54337480E+00	1.73871916E+00	3.16645234E+00	
5.50000000E+01	-3.98336522E+00	6.49690872E-01	2.12641613E+00	
6.00000000E+01	-6.88850046E+00	-4.09198134E-01	1.04775439E+00	
6.50000000E+01	-1.03474189E+01	-1.41335937E+00	-4.99377964E-02	
7.00000000E+01	-1.40430249E+01	-2.34526484E+00	-1.14385731E+00	
7.50000000E+01	-1.58442605E+01	-3.19621183E+00	-2.20816066E+00	
8.00000000E+01	-1.44227833E+01	-3.96616805E+00	-3.21498478E+00	
8.50000000E+01	-1.23942696E+01	-4.66190072E+00	-4.13673209E+00	
9.00000000E+01	-1.08597897E+01	-5.29426484E+00	-4.94964891E+00	
9.50000000E+01	-9.84019191E+00	-5.87553717E+00	-5.63790795E+00	
1.00000000E+02	-9.23171777E+00	-6.41715119E+00	-6.19656818E+00	
1.05000000E+02	-8.95566100E+00	-6.92755168E+00	-6.63176147E+00	
1.10000000E+02	-8.96196125E+00	-7.40947810E+00	-6.95762729E+00	
1.15000000E+02	-9.21474544E+00	-7.85598069E+00	-7.19111527E+00	
1.20000000E+02	-9.67135528E+00	-8.24519588E+00	-7.34661155E+00	
1.25000000E+02	-1.02482374E+01	-8.53607139E+00	-7.43213528E+00	
1.30000000E+02	-1.07716894E+01	-8.67111824E+00	-7.44823297E+00	
1.35000000E+02	-1.09615753E+01	-8.59423889E+00	-7.39013487E+00	
1.40000000E+02	-1.05742217E+01	-8.28224132E+00	-7.25295250E+00	
1.45000000E+02	-9.64604497E+00	-7.76841242E+00	-7.03829110E+00	
1.50000000E+02	-8.46085399E+00	-7.13500192E+00	-6.75926019E+00	
1.55000000E+02	-7.29798815E+00	-6.48204735E+00	-6.44113319E+00	
1.60000000E+02	-6.32235940E+00	-5.89964489E+00	-6.11736376E+00	
1.65000000E+02	-5.61231873E+00	-5.45692913E+00	-5.82330249E+00	
1.70000000E+02	-5.20503763E+00	-5.20332194E+00	-5.59049047E+00	
1.75000000E+02	-5.12436154E+00	-5.17408839E+00	-5.44300807E+00	
1.80000000E+02	-5.39577556E+00	-5.39577556E+00	-5.39577556E+00	
